Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019-01-01,6.0,CA,6083.0,Santa Barbara County,0.3903967199861408,0.6096032800138592,1291574.0,0.24211406944810834,0.23371636932491344,0.18059133161608243,0.1785052389158784,110506.0,64568.0,27288.0,10683.0,1697.0,1394.0,06-06083-20190101,0,1
County,2019-01-02,6.0,CA,6083.0,Santa Barbara County,0.20645415872649228,0.7935458412735077,1691161.0,0.3838143594195526,0.3567031298526519,0.2869078284242356,0.33202587876283085,137698.0,77312.0,38763.0,10810.0,1623.0,1245.0,06-06083-20190102,0,1
County,2019-01-03,6.0,CA,6083.0,Santa Barbara County,0.2338646031837693,0.7661353968162307,1683644.0,0.3605167986900311,0.36108791423674613,0.2968014335311905,0.3258707049597496,143021.0,80173.0,38144.0,12018.0,1619.0,1265.0,06-06083-20190103,0,1
County,2019-01-04,6.0,CA,6083.0,Santa Barbara County,0.21768589632538354,0.7823141036746165,1681571.0,0.37046558336389995,0.35393675880235115,0.2964766491208422,0.3481182271643832,130938.0,79072.0,37329.0,12381.0,1551.0,1233.0,06-06083-20190104,0,1
County,2019-01-05,6.0,CA,6083.0,Santa Barbara County,0.23797424496159844,0.7620257550384015,1710381.0,0.4144889029956709,0.36226462840907786,0.29592787546197785,0.30661499231902933,129590.0,75399.0,39218.0,11580.0,1519.0,1093.0,06-06083-20190105,0,1
County,2019-01-06,6.0,CA,6083.0,Santa Barbara County,0.29039864487690326,0.7096013551230967,1478714.0,0.31693910389469804,0.3012790871550663,0.2219442266771195,0.25078174346337695,110025.0,65239.0,35712.0,13395.0,1496.0,1210.0,06-06083-20190106,1,1
County,2019-01-07,6.0,CA,6083.0,Santa Barbara County,0.26611614790860616,0.7338838520913938,1615584.0,0.3953627690959176,0.3220458492931663,0.25251203942210776,0.2892411824795889,125636.0,69057.0,34406.0,11091.0,1432.0,1210.0,06-06083-20190107,1,1
County,2019-01-08,6.0,CA,6083.0,Santa Barbara County,0.2613520432715443,0.7386479567284556,1548098.0,0.3452993411268633,0.3145450153559474,0.2454339791689999,0.274092384791938,122922.0,67684.0,34564.0,10640.0,1495.0,1184.0,06-06083-20190108,1,1
County,2019-01-09,6.0,CA,6083.0,Santa Barbara County,0.2393024195876884,0.7606975804123116,1560523.0,0.36613545523624946,0.3204193841517421,0.22105498936051068,0.27429513122633,120480.0,69824.0,32835.0,10886.0,1685.0,1078.0,06-06083-20190109,1,1
County,2019-01-10,6.0,CA,6083.0,Santa Barbara County,0.23663644588169622,0.7633635541183038,1594328.0,0.34168179233672424,0.337828542507793,0.2632030462537798,0.30039483568441216,126837.0,73604.0,34288.0,12156.0,1611.0,1371.0,06-06083-20190110,1,1
County,2019-01-11,6.0,CA,6083.0,Santa Barbara County,0.19764778348828704,0.802352216511713,1644182.0,0.4025316535519137,0.31915755087017034,0.249338111770635,0.3042314220582922,132558.0,76577.0,38071.0,12678.0,1818.0,1068.0,06-06083-20190111,1,1
County,2019-01-12,6.0,CA,6083.0,Santa Barbara County,0.2576081307385806,0.7423918692614194,1635298.0,0.3744373198188493,0.350927683264893,0.2662985776682719,0.2804503050294112,128421.0,75379.0,36013.0,12363.0,1587.0,811.0,06-06083-20190112,1,1
County,2019-01-13,6.0,CA,6083.0,Santa Barbara County,0.26385440126272836,0.7361455987372717,1485332.0,0.3030438068132254,0.31437592739570036,0.2179818568708702,0.23820106727802515,123658.0,74531.0,29392.0,11623.0,1928.0,1007.0,06-06083-20190113,2,1
County,2019-01-14,6.0,CA,6083.0,Santa Barbara County,0.18985197590036765,0.8101480240996324,1638431.0,0.42770315079881405,0.33056466176656657,0.22332176055549333,0.2745862543116109,125303.0,75210.0,32901.0,9803.0,1998.0,957.0,06-06083-20190114,2,1
County,2019-01-15,6.0,CA,6083.0,Santa Barbara County,0.21884083078285307,0.7811591692171469,1600173.0,0.41905235356126763,0.31625429909014574,0.21257251651920708,0.25975457284185516,125043.0,72617.0,28803.0,9566.0,1912.0,1150.0,06-06083-20190115,2,1
