postal_code,HOUSEHOLD INCOME,year,business_id,count,mean,stars,review_count,RestaurantsTakeOut,NoiseLevel,Caters,Ambience,RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsTableService,GoodForKids,RestaurantsPriceRange2,WheelchairAccessible,OutdoorSeating,RestaurantsDelivery,HasTV,RestaurantsAttire,Alcohol,GoodForMeal,DogsAllowed,RestaurantsGoodForGroups,HappyHour,BusinessParking,BikeParking,WiFi,ByAppointmentOnly,Music,CoatCheck,BestNights,BusinessAcceptsBitcoin,BYOB,GoodForDancing,DriveThru,Smoking,Corkage,BYOBCorkage,AgesAllowed,AcceptsInsurance,population
93101,12934,2021,-3AooxIkg38UyUdlz5oXdw,80,2.175,3.0,436,True,u'average',True,"{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,True,True,True,2,True,True,True,True,'casual','full_bar',"{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}",True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,u'free',,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None}",False,"{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,False,,,,,,,31439
93101,12934,2021,-FM4CxOg4XXmX_Ebky_SiQ,50,4.08,4.0,1405,True,u'average',True,"{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,True,True,True,2,True,False,True,True,u'casual',u'full_bar',"{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': None, 'brunch': True, 'breakfast': None}",False,True,True,"{'garage': True, 'street': True, 'validated': True, 'lot': False, 'valet': True}",True,'free',,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,"{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False}",,,False,,u'no',,,,,31439
93101,12934,2021,-I7M6l0h46VdiN09Y1NUZw,80,4.525,4.5,246,True,,True,"{u'divey': False, u'hipster': True, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': None, u'classy': True, u'upscale': None}",True,True,True,,2,True,True,True,False,,u'beer_and_wine',"{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}",False,True,True,,True,u'no',,,,,,True,,,,False,,,,31439
93101,12934,2021,-TjT3y-Glfnbt6LbKETAYg,44,3.8863636363636362,4.0,544,True,'average',False,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",False,True,True,True,2,True,True,True,True,'casual',u'full_bar',"{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}",True,True,True,"{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,u'free',,"{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}",False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",,,False,,u'no',True,,,,31439
93101,12934,2021,-loV4cB2Uh9TCltTRgGzWQ,29,3.7586206896551726,4.0,379,True,u'quiet',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",False,True,,True,2,,None,True,False,u'casual',u'none',"{u'breakfast': True, u'brunch': True, u'lunch': None, u'dinner': False, u'latenight': False, u'dessert': None}",True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'no',,,,,,,,False,,,,,,31439
93101,12934,2021,-nwNPb3G-0L95igrhkvMtw,14,2.5,2.5,46,True,u'average',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",False,True,False,True,1,,True,True,True,'casual',u'none',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,'no',,,,,,,,True,,,,,,31439
93101,12934,2021,-r6nmLB5Vi2TLQCxh0_dtw,9,4.111111111111111,4.0,215,True,u'average',False,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,True,,True,1,,True,True,True,u'casual',u'none',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",True,False,,"{'garage': None, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,'free',,,,,,,,,,,,,,31439
93101,12934,2021,04Ss49U_QKYLotcJMAH8cA,17,4.823529411764706,4.0,97,True,,True,"{'touristy': None, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}",False,True,False,,2,,None,True,True,,u'none',"{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': None, 'brunch': None, 'breakfast': None}",,,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,31439
93101,12934,2021,0ac5lGA_0wdKDnib3y59Xg,219,4.17351598173516,4.0,434,True,u'average',,"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': True, u'trendy': True, u'intimate': None, u'romantic': True, u'classy': True, u'upscale': True}",True,True,True,,2,,True,True,True,u'casual',u'full_bar',"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",,True,True,"{'valet': False, 'garage': False, 'street': True, 'lot': None, 'validated': None}",,,,"{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}",False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,,,,,,31439
93101,12934,2021,23OxrUaCvvVrwSa1z3xG-w,4,5.0,4.5,128,True,,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,True,,,2,,True,True,True,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,,,,,,,,,,,,,,31439
